Compound CID,BioAssay AID,Substance SID,Activity,Protein GI (NCBI),NCBI Gene ID,Activity value (µM),Activity type,BioAssay Name,BioAssay Type,PMID
312145,694027,103174804,Unspecified,,,100.0,IC50,Cytotoxicity against human MCF7 cells after 72 hrs by MTS/PMS assay,Confirmatory,23040731.0
3503,103751,103235556,Unspecified,,,13.2,IC50,Inhibitory concentration in MCF-7 cells,Confirmatory,13678404.0
3503,500185,103235556,Unspecified,,,12.58,IC50,Cytotoxicity against human MCF7 cells after 72 hrs by MTT assay,Confirmatory,20684596.0
3503,500185,103235556,Unspecified,,,21.56,IC50,Cytotoxicity against human MCF7 cells after 72 hrs by MTT assay,Confirmatory,20684596.0
3503,1326246,103235556,Unspecified,,,54.0,IC50,Cytotoxicity against human MCF7 cells assessed as reduction in cell viability after 72 hrs by MTT assay,Confirmatory,27994761.0
3503,1326246,103235556,Unspecified,,,60.1,IC50,Cytotoxicity against human MCF7 cells assessed as reduction in cell viability after 72 hrs by MTT assay,Confirmatory,27994761.0
3503,1326246,103235556,Unspecified,,,75.0,IC50,Cytotoxicity against human MCF7 cells assessed as reduction in cell viability after 72 hrs by MTT assay,Confirmatory,27994761.0
31703,90129,123097261,Active,,,0.05,IC50,Tested for induction of cellular death in Human breast MCF-7 tumor cell line in Propidium Iodide Monolayer Assay,Confirmatory,12852768.0
31703,101601,123097261,Active,,,0.2,IC50,Inhibition of estrogen receptor positive MCF-7 breast cancer cell proliferation,Confirmatory,14971899.0
31703,101911,123097261,Active,,,0.2,Relative IC50,Cytotoxic activity was evaluated against MCF-7/ADR cells,Confirmatory,8632413.0
31703,101912,123097261,Active,,,0.0015,Relative IC50,Cytotoxic activity was evaluated against MCF-7/ADR+Reserpine cells,Confirmatory,8632413.0
31703,101913,123097261,Active,,,0.001,Relative IC50,Cytotoxic Activity was evaluated against MCF-7 cells,Confirmatory,8632413.0
31703,102588,123097261,Active,,,0.05,IC50,Antitumor activity against human breast adenocarcinoma MCF-7 cells,Confirmatory,12431048.0
31703,102589,123097261,Active,,,0.05,IC50,Antitumor activity against human breast adenocarcinoma MCF-7 cells.,Confirmatory,12431049.0
31703,102597,123097261,Active,,,0.063,IC50,In vitro inhibition of tumor cell growth in the human mammary tumor MCF-7 system,Confirmatory,1447730.0
31703,103073,123097261,Active,,,0.01,IC50,"Inhibitory activity against MCF-7 wt cell line using MTT assay (ER+,pgR+,wildtype p53)",Confirmatory,10780913.0
31703,103085,123097261,Active,,,10.0,IC50,Compound was tested for its toxicity against doxorubicin resistant human breast cancer cells (MCF-7/ADR).,Confirmatory,9548820.0
31703,103088,123097261,Active,,,3.1,IC50,In vitro inhibition of tumor cell growth in the human mammary carcinoma MCF-7/ADR system.,Confirmatory,1447730.0
31703,103091,123097261,Active,,,10.0,IC50,Inhibition of MCF-7/Adr breast cancer cell proliferation,Confirmatory,14971899.0
31703,103223,123097261,Active,,,0.04,IC50,Antiproliferative activity assessed in the MCF-7 human mamma carcinoma using the BrdU,Confirmatory,12459020.0
31703,103244,123097261,Active,,,0.015,IC50,Antitumor activity against breast carcinoma cell line (MCF-7M),Confirmatory,2547068.0
31703,103386,123097261,Active,,,0.0012,IC50,Cytotoxicity against human breast carcinoma cell lines MCF-7,Confirmatory,12392727.0
31703,103420,123097261,Active,,,0.028,IC50,"Tested for inhibitory activity against human tumor cell line MCF7, a strain resistant to mitoxantrone of breast carcinoma using sulforhodamine B assay.",Confirmatory,10956214.0
31703,103421,123097261,Active,,,0.028,IC50,"Tested for inhibitory activity against human tumor cell line MCF7, a strain sensitive to doxorubicin of breast carcinoma using sulforhodamine B assay.",Confirmatory,10956214.0
31703,103579,123097261,Active,,,0.14,IC50,Inhibitory activity against MCF-7 breast cell line using sulforhodamine B (SRB) protein assay,Confirmatory,12039588.0
31703,103892,123097261,Active,,,0.25,IC50,Inhibition of 10e-2 uM estradiol induced estrogen receptor positive MCF-7 human breast cancer cell proliferation,Confirmatory,8784443.0
31703,103913,123097261,Active,,,0.3,IC50,Compound was tested for its toxicity against human breast cancer cells(MCF-7),Confirmatory,9548820.0
31703,103947,123097261,Unspecified,,,135.0,IC50,Antiproliferative activity measured against MCF-7-mdr cells.,Confirmatory,9876111.0
31703,247980,123097261,Active,,,0.022,IC50,Inhibitory concentration against MCF-7 human breast carcinoma cell line,Confirmatory,15715481.0
31703,248268,123097261,Active,,,5.3,IC50,Inhibitory concentration against MCF-7 human breast carcinoma resistant to doxorubicin,Confirmatory,15715481.0
31703,256684,123097261,Active,,,0.25,IC50,Tumor killing activity in MCF7 breast cancer cells by MTT assay,Confirmatory,16168650.0
31703,256685,123097261,Unspecified,,,45.2,IC50,Tumor killing activity in MCF7/ADR drug-resistant cell line by MTT assay,Confirmatory,16168650.0
31703,256688,123097261,Active,,,6.7,IC50,Tumor killing activity in MCF7/ADR drug-resistant cell line with 10 uM verapamil (P-gp inhibitor),Confirmatory,16168650.0
31703,272788,123097261,Active,,,0.31623,IC50,Growth inhibition of MCF7 cells by crystal violet assay after 3 hrs,Confirmatory,17125253.0
31703,272789,123097261,Active,,,6.30957,IC50,Growth inhibition of MCF7/Adr cells by crystal violet assay after 3 hrs,Confirmatory,17125253.0
31703,272790,123097261,Active,,,0.01259,IC50,Growth inhibition of MCF7 cells by crystal violet assay after 24 hrs,Confirmatory,17125253.0
31703,272791,123097261,Active,,,2.51189,IC50,Growth inhibition of MCF7/Adr cells by crystal violet assay after 24 hrs,Confirmatory,17125253.0
31703,277810,123097261,Active,,,0.07,IC50,Cytotoxicity against human MCF7 cells after 72 hrs by MTT assay,Confirmatory,17286429.0
