Compound CID,BioAssay AID,Substance SID,Activity,Protein GI (NCBI),NCBI Gene ID,Activity value (µM),Activity type,BioAssay Name,BioAssay Type,PMID,pIC50 (M)
312145,694027,103174804,Unspecified,,,100.0,IC50,Cytotoxicity against human MCF7 cells after 72 hrs by MTS/PMS assay,Confirmatory,23040731.0,4.0
3503,103751,103235556,Unspecified,,,13.2,IC50,Inhibitory concentration in MCF-7 cells,Confirmatory,13678404.0,4.87942606879415
3503,500185,103235556,Unspecified,,,12.58,IC50,Cytotoxicity against human MCF7 cells after 72 hrs by MTT assay,Confirmatory,20684596.0,4.90031935889075
3503,500185,103235556,Unspecified,,,21.56,IC50,Cytotoxicity against human MCF7 cells after 72 hrs by MTT assay,Confirmatory,20684596.0,4.666351243485299
3503,1326246,103235556,Unspecified,,,54.0,IC50,Cytotoxicity against human MCF7 cells assessed as reduction in cell viability after 72 hrs by MTT assay,Confirmatory,27994761.0,4.267606240177032
3503,1326246,103235556,Unspecified,,,60.1,IC50,Cytotoxicity against human MCF7 cells assessed as reduction in cell viability after 72 hrs by MTT assay,Confirmatory,27994761.0,4.221125527997261
3503,1326246,103235556,Unspecified,,,75.0,IC50,Cytotoxicity against human MCF7 cells assessed as reduction in cell viability after 72 hrs by MTT assay,Confirmatory,27994761.0,4.1249387366083
31703,90129,123097261,Active,,,0.05,IC50,Tested for induction of cellular death in Human breast MCF-7 tumor cell line in Propidium Iodide Monolayer Assay,Confirmatory,12852768.0,7.301029995663981
31703,101601,123097261,Active,,,0.2,IC50,Inhibition of estrogen receptor positive MCF-7 breast cancer cell proliferation,Confirmatory,14971899.0,6.698970004336019
31703,101911,123097261,Active,,,0.2,Relative IC50,Cytotoxic activity was evaluated against MCF-7/ADR cells,Confirmatory,8632413.0,6.698970004336019
31703,101912,123097261,Active,,,0.0015,Relative IC50,Cytotoxic activity was evaluated against MCF-7/ADR+Reserpine cells,Confirmatory,8632413.0,8.823908740944319
31703,101913,123097261,Active,,,0.001,Relative IC50,Cytotoxic Activity was evaluated against MCF-7 cells,Confirmatory,8632413.0,9.0
31703,102588,123097261,Active,,,0.05,IC50,Antitumor activity against human breast adenocarcinoma MCF-7 cells,Confirmatory,12431048.0,7.301029995663981
31703,102589,123097261,Active,,,0.05,IC50,Antitumor activity against human breast adenocarcinoma MCF-7 cells.,Confirmatory,12431049.0,7.301029995663981
31703,102597,123097261,Active,,,0.063,IC50,In vitro inhibition of tumor cell growth in the human mammary tumor MCF-7 system,Confirmatory,1447730.0,7.200659450546418
31703,103073,123097261,Active,,,0.01,IC50,"Inhibitory activity against MCF-7 wt cell line using MTT assay (ER+,pgR+,wildtype p53)",Confirmatory,10780913.0,8.0
31703,103085,123097261,Active,,,10.0,IC50,Compound was tested for its toxicity against doxorubicin resistant human breast cancer cells (MCF-7/ADR).,Confirmatory,9548820.0,5.0
31703,103088,123097261,Active,,,3.1,IC50,In vitro inhibition of tumor cell growth in the human mammary carcinoma MCF-7/ADR system.,Confirmatory,1447730.0,5.508638306165727
31703,103091,123097261,Active,,,10.0,IC50,Inhibition of MCF-7/Adr breast cancer cell proliferation,Confirmatory,14971899.0,5.0
31703,103223,123097261,Active,,,0.04,IC50,Antiproliferative activity assessed in the MCF-7 human mamma carcinoma using the BrdU,Confirmatory,12459020.0,7.3979400086720375
31703,103244,123097261,Active,,,0.015,IC50,Antitumor activity against breast carcinoma cell line (MCF-7M),Confirmatory,2547068.0,7.823908740944319
31703,103386,123097261,Active,,,0.0012,IC50,Cytotoxicity against human breast carcinoma cell lines MCF-7,Confirmatory,12392727.0,8.920818753952375
31703,103420,123097261,Active,,,0.028,IC50,"Tested for inhibitory activity against human tumor cell line MCF7, a strain resistant to mitoxantrone of breast carcinoma using sulforhodamine B assay.",Confirmatory,10956214.0,7.552841968657781
31703,103421,123097261,Active,,,0.028,IC50,"Tested for inhibitory activity against human tumor cell line MCF7, a strain sensitive to doxorubicin of breast carcinoma using sulforhodamine B assay.",Confirmatory,10956214.0,7.552841968657781
31703,103579,123097261,Active,,,0.14,IC50,Inhibitory activity against MCF-7 breast cell line using sulforhodamine B (SRB) protein assay,Confirmatory,12039588.0,6.853871964321762
31703,103892,123097261,Active,,,0.25,IC50,Inhibition of 10e-2 uM estradiol induced estrogen receptor positive MCF-7 human breast cancer cell proliferation,Confirmatory,8784443.0,6.6020599913279625
31703,103913,123097261,Active,,,0.3,IC50,Compound was tested for its toxicity against human breast cancer cells(MCF-7),Confirmatory,9548820.0,6.522878745280337
31703,103947,123097261,Unspecified,,,135.0,IC50,Antiproliferative activity measured against MCF-7-mdr cells.,Confirmatory,9876111.0,3.869666231504994
31703,247980,123097261,Active,,,0.022,IC50,Inhibitory concentration against MCF-7 human breast carcinoma cell line,Confirmatory,15715481.0,7.657577319177793
31703,248268,123097261,Active,,,5.3,IC50,Inhibitory concentration against MCF-7 human breast carcinoma resistant to doxorubicin,Confirmatory,15715481.0,5.275724130399211
31703,256684,123097261,Active,,,0.25,IC50,Tumor killing activity in MCF7 breast cancer cells by MTT assay,Confirmatory,16168650.0,6.6020599913279625
31703,256685,123097261,Unspecified,,,45.2,IC50,Tumor killing activity in MCF7/ADR drug-resistant cell line by MTT assay,Confirmatory,16168650.0,4.3448615651886175
31703,256688,123097261,Active,,,6.7,IC50,Tumor killing activity in MCF7/ADR drug-resistant cell line with 10 uM verapamil (P-gp inhibitor),Confirmatory,16168650.0,5.173925197299173
31703,272788,123097261,Active,,,0.31623,IC50,Growth inhibition of MCF7 cells by crystal violet assay after 3 hrs,Confirmatory,17125253.0,6.499996931948306
31703,272789,123097261,Active,,,6.30957,IC50,Growth inhibition of MCF7/Adr cells by crystal violet assay after 3 hrs,Confirmatory,17125253.0,5.200000237109354
31703,272790,123097261,Active,,,0.01259,IC50,Growth inhibition of MCF7 cells by crystal violet assay after 24 hrs,Confirmatory,17125253.0,7.899974269892137
31703,272791,123097261,Active,,,2.51189,IC50,Growth inhibition of MCF7/Adr cells by crystal violet assay after 24 hrs,Confirmatory,17125253.0,5.59999938302362
31703,277810,123097261,Active,,,0.07,IC50,Cytotoxicity against human MCF7 cells after 72 hrs by MTT assay,Confirmatory,17286429.0,7.154901959985743
31703,281409,123097261,Active,,,0.022,IC50,Cytotoxicity against human MCF7 cells,Confirmatory,17375902.0,7.657577319177793
31703,281417,123097261,Active,,,5.3,IC50,Cytotoxicity against doxorubicin-resistant human MCF7 cells,Confirmatory,17375902.0,5.275724130399211
31703,282019,123097261,Active,Q15125,10682.0,0.2,IC50,Growth inhibition of MCF7 cells expressing ER and antiestrogen binding sites,Confirmatory,15588086.0,6.698970004336019
31703,282019,123097261,Active,Q9UBM7,1717.0,0.2,IC50,Growth inhibition of MCF7 cells expressing ER and antiestrogen binding sites,Confirmatory,15588086.0,6.698970004336019
31703,289261,123097261,Active,,,0.0071,IC50,Inhibition of serum-induced proliferation of human MCF7 cells,Confirmatory,17601739.0,8.148741651280925
31703,289262,123097261,Unspecified,,,17.0,IC50,Inhibition of serum-induced proliferation of human adriamycin-resistant MCF7 cells,Confirmatory,17601739.0,4.769551078621726
31703,296684,123097261,Active,,,0.74,IC50,Cytotoxicity against human MCF7 cells after 72 hrs by MTT colorimetric method,Confirmatory,17622129.0,6.130768280269024
31703,298736,123097261,Active,,,4.5,IC50,Cytotoxicity against human MCF7 cells after 4 days by MTT assay,Confirmatory,17194586.0,5.346787486224656
31703,301516,123097261,Active,,,0.5,IC50,Cytotoxicity against human MCF7 cells by sulforhodamine B assay,Confirmatory,17822905.0,6.301029995663981
31703,302869,123097261,Active,,,0.04,IC50,Antitumor activity against human MCF7 cells after 72 hrs by MTT assay,Confirmatory,17935309.0,7.3979400086720375
31703,312048,123097261,Active,,,0.07,IC50,Antiproliferative activity against human MCF7 cells by MTT assay,Confirmatory,18052326.0,7.154901959985743
31703,322365,123097261,Unspecified,,,47.8,IC50,Antiproliferative activity against adriamycin resistant human MCF7 cells after 72 hrs by MTT assay,Confirmatory,17964170.0,4.320572103387881
31703,322366,123097261,Active,,,0.3,IC50,Antiproliferative activity against wild type human MCF7 cells after 72 hrs by MTT assay,Confirmatory,17964170.0,6.522878745280337
31703,322404,123097261,Active,,,0.06,IC50,Cytotoxicity against human MCF7 cells after 72 hrs by MTT assay,Confirmatory,18164206.0,7.221848749616356
31703,329216,123097261,Active,,,0.07,IC50,Antiproliferative activity against human MCF7 cells by MTT assay,Confirmatory,18247573.0,7.154901959985743
31703,333689,123097261,Active,,,0.07,IC50,Cytotoxicity against human MCF7 cells by MTT assay,Confirmatory,15620238.0,7.154901959985743
31703,343508,123097261,Active,,,0.65,IC50,Cytotoxicity against human MCF7 cells after 3 days by MTT assay,Confirmatory,18547115.0,6.187086643357144
31703,348354,123097261,Active,,,0.018,IC50,Antiproliferative activity against human MCF7 cells after 24 hrs by MTT assay,Confirmatory,17949859.0,7.7447274948966935
31703,348355,123097261,Active,,,0.0007,IC50,Antiproliferative activity against human MCF7 cells after 72 hrs by MTT assay,Confirmatory,17949859.0,9.154901959985743
31703,351579,123097261,Active,,,0.5,IC50,Cytotoxicity against human MCF7 cells after 72 hrs by MTT assay,Confirmatory,19394829.0,6.301029995663981
31703,352210,123097261,Active,,,8.3,IC50,Cytotoxicity against human MCF7 cells by MTT assay,Confirmatory,19329312.0,5.080921907623926
31703,353192,123097261,Active,,,0.049,IC50,Cytotoxicity against human MCF7 cells after 72 hrs by MTT assay,Confirmatory,19285863.0,7.309803919971486
31703,354427,123097261,Active,,,0.14,IC50,Cytotoxicity against human MCF7 cells,Confirmatory,12608854.0,6.853871964321762
31703,366086,123097261,Active,,,0.5,IC50,Cytotoxicity against human MCF7 cells by SRB assay,Confirmatory,18656370.0,6.301029995663981
