Compound CID,pIC50 (M)
45268132,4.607303046740334
5488193,4.949620243738543
45270860,4.301029995663981
132520003,5.013228265733755
476861,4.372634143407267
70697407,5.0
10944473,5.3979400086720375
44559077,5.958607314841775
100332,5.0
132584642,4.82102305270683
24148538,4.6595558851598815
102581295,5.0
42601447,6.698970004336019
53355689,4.3979400086720375
21629614,4.1911141326401875
44445771,4.570247719997592
134150973,5.0
132577491,5.0
10884925,5.0
10444597,4.3979400086720375
90680622,4.0
189688,4.268411234813262
111253,4.522878745280337
3152,7.221848749616356
21589089,4.3979400086720375
637144,4.1911141326401875
70692803,5.119186407719209
10316560,5.376750709602099
101792015,5.0
73356683,4.308476477831846
127033179,4.3979400086720375
10017019,4.619788758288394
60155322,4.3979400086720375
118715263,3.6560009309428385
16091613,5.120904120499928
164676,5.108267460258296
25135812,4.0
70683523,4.3979400086720375
44577074,5.548213564475709
65064,4.130768280269024
71577508,5.0
12147447,4.787812395596042
14463025,6.3979400086720375
46226691,4.186419011431808
180510,5.060480747381382
134141491,4.301029995663981
101300,5.0
165003,8.698970004336019
57409449,5.910094888560602
46881245,4.0
57401675,5.026872146400302
71725773,4.3979400086720375
11081242,5.0
44559036,5.657577319177793
46881249,4.322940822607839
3386,8.0
25210138,5.3979400086720375
132489957,2.6130553756294255
132519996,5.0
52951633,4.823908740944319
62770,5.698970004336019
15432548,4.539102157243452
68077,4.769551078621726
66552717,4.0
90670210,5.0
10316810,5.823908740944319
119093,5.494850021680094
73078,5.064492734175287
70688620,5.0
101911914,5.301029995663981
11225555,4.882728704344236
56673384,5.221848749616356
71746435,3.958094360776351
132577486,5.0
5316094,4.30189945437661
338023,4.301029995663981
10992296,4.924453038607469
44254694,3.8239087409443187
4122,5.769551078621726
10315488,6.045757490560675
10808308,4.301029995663981
122180308,4.718058066559175
90676174,4.3979400086720375
11460721,4.958607314841775
119041,7.698970004336019
132967463,5.309803919971486
71579125,5.0
53262841,7.154901959985743
795,4.698970004336019
76313606,5.086186147616283
46850181,5.568636235841013
57396566,4.3979400086720375
5281316,4.920818753952375
4908,4.552841968657781
122179185,5.377785977033705
56665185,4.1911141326401875
46872584,5.0
44587548,4.698970004336019
118716652,5.3872161432802645
5385086,6.292429823902063
90680618,4.959397659885927
11724191,4.7775436633207535
118715266,3.6426369693848573
6440572,5.386158178123931
16680049,8.537602002101044
44255320,6.0
72946238,4.0
46211197,3.9469215565165805
72708558,4.301029995663981
5366244,4.0
6440361,3.6989700043360187
73347651,4.991399828238082
11478022,6.522878745280337
68150382,4.0
44179096,5.0
57523391,5.301029995663981
9932254,4.301029995663981
50900139,4.494850021680094
10999431,4.3979400086720375
54582219,4.3979400086720375
21594258,4.096910013008056
10248188,7.142667503568732
9952407,5.657577319177793
46918645,4.3979400086720375
13943286,5.7500682433658055
71455116,4.3979400086720375
9854230,5.154901959985743
118716656,5.130768280269024
44421640,4.465973893943865
145659,5.080921907623926
15559270,5.050609993355088
46883407,4.363512103646634
10356352,8.0
5355469,5.2343314452409855
72300,4.096910013008056
196959,6.0
13891912,4.0
70685499,5.585026652029182
10206,5.537602002101044
70691549,5.6777807052660805
11772488,5.0
5280862,4.2564902352715706
54580031,4.576754126063192
132606958,5.075720713938118
6171852,5.508638306165727
14985,3.4828041020500256
10607,7.823908740944319
16094885,4.3979400086720375
4212,7.698970004336019
10387847,5.113509274827518
90680628,4.420445039599001
124062,4.251811972993799
13854255,4.1911141326401875
14192854,4.698970004336019
23205,6.096910013008056
10345799,4.096910013008056
57345602,5.525783735923745
188431,4.096910013008056
12313664,4.2373214362725635
12896796,4.698970004336019
127031361,4.651695136951839
73355595,4.888401475119606
44587549,4.698970004336019
25195034,5.657577319177793
57399053,4.809668301829708
9952605,5.97061622231479
46931063,7.886056647693163
52936751,5.0
53483941,4.958607314841775
21668961,4.301029995663981
132584640,4.698970004336019
44234198,5.0
14237659,5.126679398184601
73345999,5.292429823902063
133561648,5.267606240177032
57404389,4.444905551421681
15138533,5.0
132521316,5.0
41867,5.0
132606960,5.013228265733755
73603911,5.522878745280337
6440329,5.958607314841775
60750,5.779891911959945
69866203,3.6989700043360187
638072,4.301029995663981
107935,4.975104039892515
71459810,6.366531544420414
11081505,5.0
127033175,4.804100347590766
9915017,5.0
151202,5.0
9988748,5.6020599913279625
90670209,5.0
53355691,4.3979400086720375
118711164,4.3979400086720375
73398,4.121133663043275
221071,4.301029995663981
127033769,4.3979400086720375
185553,4.3979400086720375
118718876,4.0
10561344,5.0
11228183,4.6724367398127225
71579047,5.0
21603612,5.0
5566,4.945770090136603
45269013,5.823908740944319
403923,4.958607314841775
11360558,4.0
40304,5.3979400086720375
44419427,5.7423214251308154
10041041,5.494850021680094
56673381,5.0
90680623,4.0
122182017,5.0
11731139,5.0
76325974,5.0
3034010,4.0
127033176,4.863279432843593
5281319,7.259637310505756
154206,4.301029995663981
21625900,4.0
56833465,4.417709317281006
5357488,4.343039817257151
188439,4.3979400086720375
11613,3.4091581652183973
24069165,4.096910013008056
44575563,4.882728704344236
66552846,5.366531544420414
132577494,5.0
44254875,4.129011186239425
73356653,5.0
23626638,6.045757490560675
11778027,5.0
50994145,4.5210008683266425
5288382,7.221848749616356
3086109,5.546681659952962
163001,5.163675884293248
101641869,4.924453038607469
441593,6.522878745280337
10082188,7.6020599913279625
16215417,4.42712839779952
5281672,4.698970004336019
71524350,4.3979400086720375
73356654,5.7447274948966935
5311,5.823908740944319
21123690,3.969724197110712
5280794,4.668977828958171
5372065,4.3979400086720375
21589083,4.3979400086720375
102317578,6.384049948343599
72702680,5.275724130399211
134132730,5.0
643668,7.552841968657781
45269892,6.522878745280337
52951751,3.962573502059376
21626428,5.0
13730,3.6020599913279625
130824221,4.698970004336019
5467477,5.0
10814325,5.0
73350739,4.698970004336019
127031184,4.3979400086720375
10804637,5.0
9811678,6.096910013008056
46881072,4.0
13785026,4.806318970458719
86302633,5.0
60199899,4.301029995663981
73346006,5.0
26905,4.565431095965802
44421636,4.323306390375134
73603999,6.853871964321762
56683362,5.0
5318228,4.012333735073725
634353,4.489454989793388
11693833,4.0
184579,4.142667503568732
122180303,4.6439741428068775
53319526,4.818156412055227
193042,4.048662481204082
460612,6.522878745280337
90670424,4.336299074610352
13895602,5.823908740944319
76328407,4.573488738635425
45272476,5.0
5284373,4.200000237109354
72701896,5.0
60166748,4.3979400086720375
5574924,5.632644078973981
71720663,5.126679398184601
10403490,5.0
14992071,5.0
44445768,4.787812395596042
72702681,5.229147988357856
46939592,4.301029995663981
77999,4.301029995663981
11722476,5.0
44626955,4.0
152430,4.987162775294828
57328756,5.275724130399211
132489955,4.812479279163537
71746814,4.79317412396815
53322156,4.522878745280337
132577490,5.0
71725698,4.301029995663981
45272282,5.0
46881246,4.0
71761758,5.0915149811213505
46881025,4.133122185662502
14841107,5.46344155742847
2145,5.0
71725693,4.806875401645538
42607813,5.0
66552777,4.0
25227567,4.872895201635193
73351894,5.0
6063342,5.6307841425898575
485711,4.03810452633215
21637630,5.000869458712629
11480314,5.119186407719209
25227559,5.0
57400936,5.113509274827518
53354923,6.795880017344075
45268131,5.221848749616356
70692696,5.609064892896621
73351982,5.0
11081506,5.0
60155055,5.0
13820511,4.265200170411153
14466187,5.221848749616356
386922,4.779891911959945
11094265,6.795880017344075
52951632,4.552841968657781
72344,5.356547323513812
45270717,5.42021640338319
12303796,4.3979400086720375
44577076,5.441291429466834
10356588,4.301029995663981
5702613,4.920818753952375
90676613,4.94692155651658
11624740,4.259637310505756
11314593,4.640164517660112
24970646,4.392544976785332
57380389,5.681936665037238
68150385,4.0
14683342,4.1487416512809245
9942292,6.85078088734462
44557850,3.9270152553720696
10009004,4.375717904164332
44559134,6.522878745280337
46211338,4.102372908709558
51361444,5.458420756053419
46882749,4.22767829327708
15011073,5.552841968657781
29435,5.0
5387750,4.757707095017069
134146983,5.0
132525209,5.0
70682264,4.3979400086720375
181384,5.638272163982407
97226,4.718512112059919
46918556,4.3979400086720375
71725697,4.301029995663981
148195,7.301029995663981
56602066,5.0
16086565,6.698970004336019
72946415,4.6020599913279625
132524526,4.747146969020107
44406805,5.298432014944073
5280960,5.0
57396552,5.7423214251308154
60155155,5.568636235841013
10475830,4.886056647693163
853433,4.390512310146715
44419730,4.522878745280337
122181683,5.0
44577075,5.262012673666569
10872208,4.0
46881080,4.7055337738384075
23247889,5.3872161432802645
25016665,4.343901797987169
5280462,5.0
10520980,5.130768280269024
90676177,4.6777807052660805
11557896,5.301029995663981
72701620,5.0
52316406,4.0
44577072,4.455064234118497
71524351,4.3979400086720375
72702039,5.267606240177032
70697408,5.070581074285707
44419734,4.525783735923745
44584019,5.769551078621726
76332082,4.735182176990463
44127735,4.6777807052660805
50993975,5.0
66747,4.698970004336019
3657,4.0
15559272,5.119186407719209
44448194,5.823908740944319
5318015,3.7670038896078464
59051170,4.0
11108215,5.161150909262744
50993744,5.6777807052660805
21632881,4.301029995663981
71726087,5.0
90676539,6.2076083105017466
165541,5.494850021680094
10767792,4.6020599913279625
60154783,4.40000018605658
14466529,5.958607314841775
118711056,5.376750709602099
76324769,5.0
76324560,5.508638306165727
21637526,4.522878745280337
119458,5.61261017366127
44178847,5.0
53356406,4.3979400086720375
73353798,5.431798275933005
71712815,5.0
57332648,4.0
21727420,5.0
76317185,4.3979400086720375
134139973,5.0
11467921,8.698970004336019
181786,4.0
44560356,5.0
71574223,5.016824927962187
71725619,5.102372908709558
46881257,4.0
57380181,6.102372908709558
2733526,6.301029995663981
46211047,5.0
